"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff","nAA.down","nAA.up","nAA.diff"
LXC+06,"SCC / NBE",,22,44,-0.1041,-0.0848,0.0193,-0.8207,-0.7852,0.0356,5.8889,5,-0.8889,5.1579,4.8182,-0.3397,346.5,281.5,-65
KHA+12_ADC,"ADC / pooled normal",,25,25,-0.0946,-0.1217,-0.027,-0.7646,-0.7593,0.0053,6.2381,4.2917,-1.9464,5.88,4.6957,-1.1843,404,589,185
KHA+12_SCC,"SCC / pooled normal",,23,24,-0.0946,-0.1495,-0.0549,-0.7727,-0.7621,0.0106,6,4.0952,-1.9048,5.9048,3.5833,-2.3214,522,454,-68
YLL+12,"LCM SCC / NBE",,47,46,-0.1316,-0.1345,-0.0028,-0.7485,-0.7177,0.0308,3.9444,3.25,-0.6944,4.0278,3.8837,-0.1441,430,451,21
ZZD+12,"LCM LSCC / NBE",,54,41,-0.1389,-0.136,0.003,-0.7218,-0.7258,-0.004,3.5278,4.2759,0.7481,3.4359,4.5333,1.0974,333,418,85
ZZY+13,"plasma membrane ADC / ANT",,24,21,-0.1603,-0.1232,0.0372,-0.7569,-0.7361,0.0208,3.9048,4.4667,0.5619,4.4583,4.5,0.0417,374.5,702,327.5
LLY+14,"SCC / normal",,29,48,-0.1274,-0.1281,-7e-04,-0.7491,-0.7126,0.0365,5.4286,3.3261,-2.1025,5.5517,3.4468,-2.1049,527,502.5,-24.5
LWT+14,"NSCLC / ANT",,345,1240,-0.1245,-0.1336,-0.009,-0.775,-0.7448,0.0302,5.2751,2.6937,-2.5814,5.1023,3.9256,-1.1767,455,428,-27
ZLH+14,"membrane microdissected ADC / ANT",,310,257,-0.1438,-0.1458,-0.002,-0.7846,-0.7172,0.0674,5.2109,2.7738,-2.4372,5.1126,3.7205,-1.3921,362,306,-56
ZLS+14,"endothelial SCC / normal",,61,24,-0.148,-0.1198,0.0282,-0.7872,-0.7498,0.0374,2.898,2.3333,-0.5646,3.9828,3.7083,-0.2744,375,394,19
KNT+15,"FFPE LPIA / pseudo-normal",,346,66,-0.1446,-0.121,0.0236,-0.7344,-0.7456,-0.0113,2.5657,4.8814,2.3157,3.6997,5.0909,1.3912,363,496.5,133.5
BLL+16_protein,"NSCLC proteome",,354,240,-0.1269,-0.1196,0.0073,-0.7432,-0.7713,-0.0281,3.2484,5.3239,2.0756,4.0595,5.1441,1.0846,604,472.5,-131.5
FGP+16,"adenocarcinoma / ANT",,81,285,-0.1299,-0.1499,-0.02,-0.7724,-0.7291,0.0433,4.9577,2.4414,-2.5163,4.925,3.2676,-1.6574,535,414,-121
JCP+16,"mouse endothelial tumor / normal",mouse,18,28,-0.1206,-0.1421,-0.0214,-0.7526,-0.7109,0.0417,NA,NA,NA,NA,NA,NA,319,384,65
HHH+16_pN0,"pN0 / normal",,210,135,-0.1288,-0.1501,-0.0213,-0.7631,-0.7206,0.0424,5.4737,2.513,-2.9606,4.9474,3.5075,-1.4399,379,327,-52
HHH+16_pN1,"pN1 / normal",,233,170,-0.1241,-0.1446,-0.0205,-0.7744,-0.7393,0.0351,5.3899,2.7415,-2.6484,4.9784,3.7574,-1.2211,450,354,-96
HHH+16_pN2.M1,"pN2.M1 / normal",,154,158,-0.1287,-0.1453,-0.0166,-0.7599,-0.7436,0.0163,5.3121,3.6667,-1.6454,4.9536,4.0253,-0.9283,396,378,-18
